Series ID,Year,Period,Value
LNS11000000,1948,M01,60095
LNS11000000,1948,M02,60524
LNS11000000,1948,M03,60070
LNS11000000,1948,M04,60677
LNS11000000,1948,M05,59972
LNS11000000,1948,M06,60957
LNS11000000,1948,M07,61181
LNS11000000,1948,M08,60806
LNS11000000,1948,M09,60815
LNS11000000,1948,M10,60646
LNS11000000,1948,M11,60702
LNS11000000,1948,M12,61169
LNS11000000,1949,M01,60771
LNS11000000,1949,M02,61057
LNS11000000,1949,M03,61073
LNS11000000,1949,M04,61007
LNS11000000,1949,M05,61259
LNS11000000,1949,M06,60948
LNS11000000,1949,M07,61301
LNS11000000,1949,M08,61590
LNS11000000,1949,M09,61633
LNS11000000,1949,M10,62185
LNS11000000,1949,M11,62005
LNS11000000,1949,M12,61908
LNS11000000,1950,M01,61661
LNS11000000,1950,M02,61687
LNS11000000,1950,M03,61604
LNS11000000,1950,M04,62158
LNS11000000,1950,M05,62083
LNS11000000,1950,M06,62419
LNS11000000,1950,M07,62121
LNS11000000,1950,M08,62596
LNS11000000,1950,M09,62349
LNS11000000,1950,M10,62428
LNS11000000,1950,M11,62286
LNS11000000,1950,M12,62068
LNS11000000,1951,M01,61941
LNS11000000,1951,M02,61778
LNS11000000,1951,M03,62526
LNS11000000,1951,M04,61808
LNS11000000,1951,M05,62044
LNS11000000,1951,M06,61615
LNS11000000,1951,M07,62106
LNS11000000,1951,M08,61927
LNS11000000,1951,M09,61780
LNS11000000,1951,M10,62204
LNS11000000,1951,M11,62014
LNS11000000,1951,M12,62457
LNS11000000,1952,M01,62432
LNS11000000,1952,M02,62419
LNS11000000,1952,M03,61721
LNS11000000,1952,M04,61720
LNS11000000,1952,M05,62058
LNS11000000,1952,M06,62103
LNS11000000,1952,M07,61962
LNS11000000,1952,M08,61877
LNS11000000,1952,M09,62457
LNS11000000,1952,M10,61971
LNS11000000,1952,M11,62491
LNS11000000,1952,M12,62621
LNS11000000,1953,M01,63439
LNS11000000,1953,M02,63520
LNS11000000,1953,M03,63657
LNS11000000,1953,M04,63167
LNS11000000,1953,M05,62615
LNS11000000,1953,M06,63063
LNS11000000,1953,M07,63057
LNS11000000,1953,M08,62816
LNS11000000,1953,M09,62727
LNS11000000,1953,M10,62867
LNS11000000,1953,M11,62949
LNS11000000,1953,M12,62795
LNS11000000,1954,M01,63101
LNS11000000,1954,M02,63994
LNS11000000,1954,M03,63793
LNS11000000,1954,M04,63934
LNS11000000,1954,M05,63675
LNS11000000,1954,M06,63343
LNS11000000,1954,M07,63302
LNS11000000,1954,M08,63707
LNS11000000,1954,M09,64209
LNS11000000,1954,M10,63936
LNS11000000,1954,M11,63759
LNS11000000,1954,M12,63312
LNS11000000,1955,M01,63910
LNS11000000,1955,M02,63696
LNS11000000,1955,M03,63882
LNS11000000,1955,M04,64564
LNS11000000,1955,M05,64381
LNS11000000,1955,M06,64482
LNS11000000,1955,M07,65145
LNS11000000,1955,M08,65581
LNS11000000,1955,M09,65628
LNS11000000,1955,M10,65821
LNS11000000,1955,M11,66037
LNS11000000,1955,M12,66445
LNS11000000,1956,M01,66419
LNS11000000,1956,M02,66124
LNS11000000,1956,M03,66175
LNS11000000,1956,M04,66264
LNS11000000,1956,M05,66722
LNS11000000,1956,M06,66702
LNS11000000,1956,M07,66752
LNS11000000,1956,M08,66673
LNS11000000,1956,M09,66714
LNS11000000,1956,M10,66546
LNS11000000,1956,M11,66657
LNS11000000,1956,M12,66700
LNS11000000,1957,M01,66428
LNS11000000,1957,M02,66879
LNS11000000,1957,M03,66913
LNS11000000,1957,M04,66647
LNS11000000,1957,M05,66695
LNS11000000,1957,M06,67052
LNS11000000,1957,M07,67336
LNS11000000,1957,M08,66706
LNS11000000,1957,M09,67064
LNS11000000,1957,M10,67066
LNS11000000,1957,M11,67123
LNS11000000,1957,M12,67398
LNS11000000,1958,M01,67095
LNS11000000,1958,M02,67201
LNS11000000,1958,M03,67223
LNS11000000,1958,M04,67647
LNS11000000,1958,M05,67895
LNS11000000,1958,M06,67674
LNS11000000,1958,M07,67824
LNS11000000,1958,M08,68037
LNS11000000,1958,M09,68002
LNS11000000,1958,M10,68045
LNS11000000,1958,M11,67658
LNS11000000,1958,M12,67740
LNS11000000,1959,M01,67936
LNS11000000,1959,M02,67649
LNS11000000,1959,M03,68068
LNS11000000,1959,M04,68339
LNS11000000,1959,M05,68178
LNS11000000,1959,M06,68278
LNS11000000,1959,M07,68539
LNS11000000,1959,M08,68432
LNS11000000,1959,M09,68545
LNS11000000,1959,M10,68821
LNS11000000,1959,M11,68533
LNS11000000,1959,M12,68994
LNS11000000,1960,M01,68962
LNS11000000,1960,M02,68949
LNS11000000,1960,M03,68399
LNS11000000,1960,M04,69579
LNS11000000,1960,M05,69626
LNS11000000,1960,M06,69934
LNS11000000,1960,M07,69745
LNS11000000,1960,M08,69841
LNS11000000,1960,M09,70151
LNS11000000,1960,M10,69884
LNS11000000,1960,M11,70439
LNS11000000,1960,M12,70395
LNS11000000,1961,M01,70447
LNS11000000,1961,M02,70420
LNS11000000,1961,M03,70703
LNS11000000,1961,M04,70267
LNS11000000,1961,M05,70452
LNS11000000,1961,M06,70878
LNS11000000,1961,M07,70536
LNS11000000,1961,M08,70534
LNS11000000,1961,M09,70217
LNS11000000,1961,M10,70492
LNS11000000,1961,M11,70376
LNS11000000,1961,M12,70077
LNS11000000,1962,M01,70189
LNS11000000,1962,M02,70409
LNS11000000,1962,M03,70414
LNS11000000,1962,M04,70278
LNS11000000,1962,M05,70551
LNS11000000,1962,M06,70514
LNS11000000,1962,M07,70302
LNS11000000,1962,M08,70981
LNS11000000,1962,M09,71153
LNS11000000,1962,M10,70917
LNS11000000,1962,M11,70871
LNS11000000,1962,M12,70854
LNS11000000,1963,M01,71146
LNS11000000,1963,M02,71262
LNS11000000,1963,M03,71423
LNS11000000,1963,M04,71697
LNS11000000,1963,M05,71832
LNS11000000,1963,M06,71626
LNS11000000,1963,M07,71956
LNS11000000,1963,M08,71786
LNS11000000,1963,M09,72131
LNS11000000,1963,M10,72281
LNS11000000,1963,M11,72418
LNS11000000,1963,M12,72188
LNS11000000,1964,M01,72356
LNS11000000,1964,M02,72683
LNS11000000,1964,M03,72713
LNS11000000,1964,M04,73274
LNS11000000,1964,M05,73395
LNS11000000,1964,M06,73032
LNS11000000,1964,M07,73007
LNS11000000,1964,M08,73118
LNS11000000,1964,M09,73290
LNS11000000,1964,M10,73308
LNS11000000,1964,M11,73286
LNS11000000,1964,M12,73465
LNS11000000,1965,M01,73569
LNS11000000,1965,M02,73857
LNS11000000,1965,M03,73949
LNS11000000,1965,M04,74228
LNS11000000,1965,M05,74466
LNS11000000,1965,M06,74412
LNS11000000,1965,M07,74761
LNS11000000,1965,M08,74616
LNS11000000,1965,M09,74502
LNS11000000,1965,M10,74838
LNS11000000,1965,M11,74797
LNS11000000,1965,M12,75093
LNS11000000,1966,M01,75186
LNS11000000,1966,M02,74954
LNS11000000,1966,M03,75075
LNS11000000,1966,M04,75338
LNS11000000,1966,M05,75447
LNS11000000,1966,M06,75647
LNS11000000,1966,M07,75736
LNS11000000,1966,M08,76046
LNS11000000,1966,M09,76056
LNS11000000,1966,M10,76199
LNS11000000,1966,M11,76610
LNS11000000,1966,M12,76641
LNS11000000,1967,M01,76639
LNS11000000,1967,M02,76521
LNS11000000,1967,M03,76328
LNS11000000,1967,M04,76777
LNS11000000,1967,M05,76773
LNS11000000,1967,M06,77270
LNS11000000,1967,M07,77464
LNS11000000,1967,M08,77712
LNS11000000,1967,M09,77812
LNS11000000,1967,M10,78194
LNS11000000,1967,M11,78191
LNS11000000,1967,M12,78491
LNS11000000,1968,M01,77578
LNS11000000,1968,M02,78230
LNS11000000,1968,M03,78256
LNS11000000,1968,M04,78270
LNS11000000,1968,M05,78847
LNS11000000,1968,M06,79120
LNS11000000,1968,M07,78970
LNS11000000,1968,M08,78811
LNS11000000,1968,M09,78858
LNS11000000,1968,M10,78913
LNS11000000,1968,M11,79209
LNS11000000,1968,M12,79463
LNS11000000,1969,M01,79523
LNS11000000,1969,M02,80019
LNS11000000,1969,M03,80079
LNS11000000,1969,M04,80281
LNS11000000,1969,M05,80125
