DATE,End of Date,GDP (in Billions),GDP
1/1/1947,12/31/1946,259.745,2.59745E+11
1/1/1948,12/31/1947,280.366,2.80366E+11
1/1/1949,12/31/1948,270.627,2.70627E+11
1/1/1950,12/31/1949,319.945,3.19945E+11
1/1/1951,12/31/1950,356.178,3.56178E+11
1/1/1952,12/31/1951,380.812,3.80812E+11
1/1/1953,12/31/1952,385.97,3.8597E+11
1/1/1954,12/31/1953,399.734,3.99734E+11
1/1/1955,12/31/1954,437.092,4.37092E+11
1/1/1956,12/31/1955,460.463,4.60463E+11
1/1/1957,12/31/1956,474.864,4.74864E+11
1/1/1958,12/31/1957,499.555,4.99555E+11
1/1/1959,12/31/1958,528.6,5.286E+11
1/1/1960,12/31/1959,540.197,5.40197E+11
1/1/1961,12/31/1960,580.612,5.80612E+11
1/1/1962,12/31/1961,612.28,6.1228E+11
1/1/1963,12/31/1962,653.938,6.53938E+11
1/1/1964,12/31/1963,697.319,6.97319E+11
1/1/1965,12/31/1964,771.857,7.71857E+11
1/1/1966,12/31/1965,833.302,8.33302E+11
1/1/1967,12/31/1966,881.439,8.81439E+11
1/1/1968,12/31/1967,968.03,9.6803E+11
1/1/1969,12/31/1968,1038.147,1.03815E+12
1/1/1970,12/31/1969,1088.608,1.08861E+12
1/1/1971,12/31/1970,1190.297,1.1903E+12
1/1/1972,12/31/1971,1328.904,1.3289E+12
1/1/1973,12/31/1972,1476.289,1.47629E+12
1/1/1974,12/31/1973,1599.679,1.59968E+12
1/1/1975,12/31/1974,1761.831,1.76183E+12
1/1/1976,12/31/1975,1934.273,1.93427E+12
1/1/1977,12/31/1976,2164.27,2.16427E+12
1/1/1978,12/31/1977,2476.949,2.47695E+12
1/1/1979,12/31/1978,2723.883,2.72388E+12
1/1/1980,12/31/1979,2985.557,2.98556E+12
1/1/1981,12/31/1980,3280.818,3.28082E+12
1/1/1982,12/31/1981,3402.561,3.40256E+12
1/1/1983,12/31/1982,3794.706,3.79471E+12
1/1/1984,12/31/1983,4148.551,4.14855E+12
1/1/1985,12/31/1984,4444.094,4.44409E+12
1/1/1986,12/31/1985,4657.627,4.65763E+12
1/1/1987,12/31/1986,5007.994,5.00799E+12
1/1/1988,12/31/1987,5399.509,5.39951E+12
1/1/1989,12/31/1988,5747.237,5.74724E+12
1/1/1990,12/31/1989,6004.733,6.00473E+12
1/1/1991,12/31/1990,6264.54,6.26454E+12
1/1/1992,12/31/1991,6680.803,6.6808E+12
1/1/1993,12/31/1992,7013.738,7.01374E+12
1/1/1994,12/31/1993,7455.288,7.45529E+12
1/1/1995,12/31/1994,7772.586,7.77259E+12
1/1/1996,12/31/1995,8259.771,8.25977E+12
1/1/1997,12/31/1996,8765.907,8.76591E+12
1/1/1998,12/31/1997,9293.991,9.29399E+12
1/1/1999,12/31/1998,9899.378,9.89938E+12
1/1/2000,12/31/1999,10439.025,1.0439E+13
1/1/2001,12/31/2000,10660.294,1.06603E+13
1/1/2002,12/31/2001,11071.463,1.10715E+13
1/1/2003,12/31/2002,11769.275,1.17693E+13
1/1/2004,12/31/2003,12522.425,1.25224E+13
1/1/2005,12/31/2004,13332.316,1.33323E+13
1/1/2006,12/31/2005,14037.228,1.40372E+13
1/1/2007,12/31/2006,14681.501,1.46815E+13
1/1/2008,12/31/2007,14559.543,1.45595E+13
1/1/2009,12/31/2008,14628.021,1.4628E+13
1/1/2010,12/31/2009,15240.843,1.52408E+13
1/1/2011,12/31/2010,15796.46,1.57965E+13
1/1/2012,12/31/2011,16358.863,1.63589E+13
1/1/2013,12/31/2012,17083.137,1.70831E+13
1/1/2014,12/31/2013,17849.912,1.78499E+13
1/1/2015,12/31/2014,18350.825,1.83508E+13
1/1/2016,12/31/2015,18991.883,1.89919E+13
1/1/2017,12/31/2016,19918.91,1.99189E+13
1/1/2018,12/31/2017,20897.804,2.08978E+13
1/1/2019,12/31/2018,21734.266,2.17343E+13
